source_document,page,feature,normalized_feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"ETSIEN303645,BSIITSecurityLabel Storage","etsien303645,bsiitsecuritylabel storage"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,SupportformicroSD/microSDHC/microSDXCcardwith,supportformicrosd/microsdhc/microsdxccardwith
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,UHSSpeedClassU1,uhsspeedclassu1
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Cybersecurity,cybersecurity
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Supportforrecordingtonetwork-attachedstorage,supportforrecordingtonetwork-attachedstorage
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,(NAS),(nas)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,ForSDcardandNASrecommendationsseeaxis.com,forsdcardandnasrecommendationsseeaxis.com
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Edge security,edge security
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"Software:SignedOS,bruteforcedelayprotection,","software:signedos,bruteforcedelayprotection,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,digestauthenticationandOAuth2.0RFC6749Client Operating conditions,digestauthenticationandoauth2.0rfc6749client operating conditions
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,CredentialFlow/OpenIDAuthorizationCodeFlowfor -30°Cto55°C(-22°Fto131°F),credentialflow/openidauthorizationcodeflowfor -30°cto55°c(-22°fto131°f)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"centralizedADFSaccountmanagement,password Maximum(intermittent):70°C(158°F)","centralizedadfsaccountmanagement,password maximum(intermittent):70°c(158°f)"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"protection,AES-XTS-Plain64256bitSDcardencryption Humidity:10-100%RH(condensing)","protection,aes-xts-plain64256bitsdcardencryption humidity:10-100%rh(condensing)"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Hardware:AxisEdgeVaultcybersecurityplatform,hardware:axisedgevaultcybersecurityplatform
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"Secureelement(CCEAL6+),system-on-chipsecurity","secureelement(cceal6+),system-on-chipsecurity"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"(TEE),AxisdeviceID,securekeystore,signedvideo, Storage conditions","(tee),axisdeviceid,securekeystore,signedvideo, storage conditions"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"secureboot,encryptedfilesystem(AES-XTS-Plain64 -40°Cto65°C(-40°Fto149°F)","secureboot,encryptedfilesystem(aes-xts-plain64 -40°cto65°c(-40°fto149°f)"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,256bit),256bit)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Dimensions,dimensions
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"Network security Height:50mm(1.97in),ø110mm(4.33in)","network security height:50mm(1.97in),ø110mm(4.33in)"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"IEEE802.1x(EAP-TLS,PEAP-MSCHAPv2)4,","ieee802.1x(eap-tls,peap-mschapv2)4,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"IEEE802.1AE(MACsecPSK/EAP-TLS),IEEE802.1AR,","ieee802.1ae(macsecpsk/eap-tls),ieee802.1ar,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Weight,weight
